Sample	Gender	Pop
HG01171	female	AMR
HG01523	male	EUR
HG00759	female	EAS
HG01176	male	AMR
HG01415	female	AMR
HG00766	female	EAS
HG01183	female	AMR
HG01439	female	AMR
HG00867	female	EAS
HG01188	female	AMR
HG01441	female	AMR
HG00879	female	EAS
HG01190	male	AMR
HG01566	female	AMR
HG00881	male	EAS
HG01311	male	AMR
HG01573	female	AMR
HG00684	female	EAS
HG01323	female	AMR
HG01578	female	AMR
HG00689	male	EAS
HG01342	female	AMR
HG01612	female	EUR
HG00691	male	EAS
HG01347	male	AMR
HG01617	male	EUR
HG00704	male	EAS
HG01354	female	AMR
HG01624	male	EUR
HG00449	female	EAS
HG01359	male	AMR
HG01477	female	AMR
HG00451	male	EAS
HG01361	female	AMR
HG01484	female	AMR
HG00463	male	EAS
HG01366	female	AMR
HG01489	female	AMR
HG00475	male	EAS
HG01253	male	AMR
HG01453	female	AMR
HG00709	male	EAS
HG01258	male	AMR
HG01465	female	AMR
HG00716	male	EAS
HG01260	female	AMR
HG01528	female	EUR
HG00728	male	EAS
HG01272	female	AMR
HG01530	male	EUR
HG00730	female	EAS
HG01126	male	AMR
HG01782	female	EUR
HG00735	female	AMR
HG01133	male	AMR
HG01787	female	EUR
HG00552	male	AMR
HG01138	male	AMR
HG01794	female	EAS
HG00557	female	EAS
HG01140	female	AMR
HG01629	male	EUR
HG00615	female	EAS
HG01378	female	AMR
HG01631	male	EUR
HG00622	male	EAS
HG01385	female	AMR
HG01667	male	EUR
HG00627	male	EAS
HG01392	male	AMR
HG01674	male	EUR
HG00956	female	EAS
HG01397	female	AMR
HG01768	female	EUR
HG00982	male	EAS
HG01405	male	AMR
HG01770	female	EUR
HG01029	female	EAS
HG01412	male	AMR
HG01775	male	EUR
HG01031	male	EAS
HG01277	male	AMR
HG01679	female	EUR
HG01048	male	AMR
HG01284	female	AMR
HG01681	female	EUR
HG01050	female	AMR
HG01195	female	AMR
HG01686	male	EUR
HG01055	female	AMR
HG01241	male	AMR
HG01756	male	EUR
HG01168	female	AMR
HG01493	female	AMR
HG01763	female	EUR
HG01170	male	AMR
HG01498	female	AMR
HG01852	male	EAS
HG01175	female	AMR
HG01501	female	EUR
HG01857	female	EAS
HG01182	male	AMR
HG01506	male	EUR
HG01864	male	EAS
HG01252	male	AMR
HG01532	male	EUR
HG01799	female	EAS
HG01257	female	AMR
HG01537	female	EUR
HG01802	female	EAS
HG01269	female	AMR
HG01551	female	AMR
HG01807	female	EAS
HG01271	male	AMR
HG01556	male	AMR
HG01698	male	EUR
HG01062	female	AMR
HG01513	female	EUR
HG01701	male	EUR
HG01067	female	AMR
HG01518	male	EUR
HG01706	female	EUR
HG01074	male	AMR
HG01520	female	EUR
HG01840	male	EAS
HG01079	male	AMR
HG01525	female	EUR
HG01845	female	EAS
HG01101	male	AMR
HG01614	female	EUR
HG01953	male	AMR
HG01106	male	AMR
HG01619	male	EUR
HG01958	female	AFR
HG01113	female	AMR
HG01621	male	EUR
HG01960	female	AFR
HG01125	female	AMR
HG01626	female	EUR
HG01965	female	AMR
HG01137	female	AMR
HG01599	female	EAS
HG01984	male	AMR
HG01149	female	AMR
HG01602	female	EUR
HG01989	female	AFR
HG01081	female	AMR
HG01607	female	EUR
HG01991	male	AMR
HG01086	female	AMR
HG01474	female	AMR
HG01883	female	AFR
HG01098	female	AMR
HG01479	male	AMR
HG01888	male	AFR
HG01276	female	AMR
HG01481	female	AMR
HG01890	male	AFR
HG01303	female	AMR
HG01486	female	AMR
HG01895	male	AFR
HG01187	male	AMR
HG01455	male	AMR
HG01927	female	AMR
HG01199	male	AMR
HG01462	female	AMR
HG01934	male	AMR
HG01365	male	AMR
HG01431	male	AMR
HG01939	female	AMR
HG01372	female	AMR
HG01443	male	AMR
HG01915	female	AFR
HG01377	male	AMR
HG01594	male	SAS
HG01922	female	AMR
HG01384	female	AMR
HG01784	female	EUR
HG02002	male	AMR
HG01389	male	AMR
HG01789	male	EUR
HG02014	male	AFR
HG01391	female	AMR
HG01791	male	EUR
HG01972	female	AMR
HG01308	male	AMR
HG01796	female	EAS
HG01977	male	AMR
HG01322	male	AMR
HG01633	male	EUR
HG01941	male	AMR
HG01327	male	AMR
HG01669	male	EUR
HG01946	male	AMR
HG01334	male	EUR
HG01671	male	EUR
HG01869	female	EAS
HG01341	male	AMR
HG01676	female	EUR
HG01871	female	EAS
HG01492	female	AMR
HG01710	female	EUR
HG02141	male	EAS
HG01497	male	AMR
HG01746	female	EUR
HG02146	male	AMR
HG01500	male	EUR
HG01765	male	EUR
HG02153	female	EAS
HG01505	male	EUR
HG01816	male	EAS
HG02083	male	EAS
HG01447	female	AMR
HG01842	male	EAS
HG02088	male	EAS
HG01454	female	AMR
HG01847	female	EAS
HG02090	male	AMR
HG01459	female	AMR
HG01859	female	EAS
HG02064	male	EAS
HG01461	male	AMR
HG01861	male	EAS
HG02069	female	EAS
HG01466	female	AMR
HG01866	male	EAS
HG02071	male	EAS
HG01346	female	AMR
HG01772	female	EUR
HG02076	male	EAS
HG01353	male	AMR
HG01777	male	EUR
HG02095	female	AFR
HG01358	male	AMR
HG01804	female	EAS
HG02108	female	AFR
HG01360	female	AMR
HG01809	female	EAS
HG02122	male	EAS
